from	to	layer	kind	status	required_disposition	r2_classification	r2_disposition	r2_evidence
Catalog	Pricing	L3	domain	OPEN	authorize exact lateral edge, or merge/re-layer	blocked on canonical layer/lateral-edge policy	decide merge, re-layer, or authorize this exact domain cluster before any executable graph	canonical policy forbids unratified lateral dependencies; no observed L3-domain peer precedent
Subscription	Catalog	L3	domain	OPEN	authorize exact lateral edge, or merge/re-layer	blocked on canonical layer/lateral-edge policy	decide merge, re-layer, or authorize this exact domain cluster before any executable graph	canonical policy forbids unratified lateral dependencies; no observed L3-domain peer precedent
IdentityContract	IdentityCore	L3	domain	OPEN	authorize exact lateral edge, or co-locate/re-layer in identity architecture	blocked on canonical layer/lateral-edge policy	decide merge, re-layer, or authorize this exact domain cluster before any executable graph	canonical policy forbids unratified lateral dependencies; no observed L3-domain peer precedent
IdentitySQL	IdentityContract	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
IdentitySQL	SQL	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
IdentitySQL	Migrations	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
IdentityMailgun	IdentityComponent	L4	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	blocked on runtime/compile probe	run I1 five-axis parity probe before retaining this join	hardening found current identity-Mailgun parity failing five axes
CatalogStripe	Catalog	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
CatalogStripe	Pricing	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
CatalogStripe	StripeClient	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripe	Subscription	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
